corridor,product,pathway,year,price_scenario,embedded_emissions_tco2e_per_tonne,uk_price_variant,eu_cbam_cost_eur_per_tonne,uk_cbam_cost_gbp_per_tonne
ningbo_felixstowe,hydrogen,cbam_default,2028,low,26.64,frozen,0.0,189.97018593262894
ningbo_felixstowe,hydrogen,cbam_default,2028,medium,26.64,frozen,0.0,234.6606721732799
ningbo_felixstowe,hydrogen,cbam_default,2028,high,26.64,frozen,0.0,284.9552788989434
ningbo_felixstowe,hydrogen,cbam_default,2029,low,26.64,frozen,0.0,236.05596562038534
ningbo_felixstowe,hydrogen,cbam_default,2029,medium,26.64,frozen,0.0,291.588131532581
ningbo_felixstowe,hydrogen,cbam_default,2029,high,26.64,frozen,0.0,354.083948430578
ningbo_felixstowe,hydrogen,cbam_default,2030,low,26.64,frozen,0.0,351.27041483977627
ningbo_felixstowe,hydrogen,cbam_default,2030,medium,26.64,frozen,0.0,433.90677993083364
ningbo_felixstowe,hydrogen,cbam_default,2030,high,26.64,frozen,0.0,526.9056222596644
halifax_hamburg,ammonia,grey_smr,2026,low,2.18,n/a,47.073861500000014,0.0
halifax_hamburg,ammonia,grey_smr,2026,medium,2.18,n/a,54.03436150000002,0.0
halifax_hamburg,ammonia,grey_smr,2026,high,2.18,n/a,60.99486150000002,0.0
halifax_hamburg,ammonia,grey_smr,2027,low,2.18,n/a,50.93185800000001,0.0
halifax_hamburg,ammonia,grey_smr,2027,medium,2.18,n/a,64.87975800000001,0.0
halifax_hamburg,ammonia,grey_smr,2027,high,2.18,n/a,74.23953300000002,0.0
halifax_hamburg,ammonia,grey_smr,2028,low,2.18,n/a,57.734852000000004,0.0
halifax_hamburg,ammonia,grey_smr,2028,medium,2.18,n/a,80.42045200000001,0.0
halifax_hamburg,ammonia,grey_smr,2028,high,2.18,n/a,92.97855200000001,0.0
halifax_hamburg,ammonia,grey_smr,2029,low,2.18,n/a,73.1629085,0.0
halifax_hamburg,ammonia,grey_smr,2029,medium,2.18,n/a,110.1795585,0.0
halifax_hamburg,ammonia,grey_smr,2029,high,2.18,n/a,128.437771,0.0
halifax_hamburg,ammonia,grey_smr,2030,low,2.18,n/a,103.67958420000002,0.0
halifax_hamburg,ammonia,grey_smr,2030,medium,2.18,n/a,167.9034042,0.0
halifax_hamburg,ammonia,grey_smr,2030,high,2.18,n/a,197.2229742,0.0
halifax_hamburg,ammonia,green_electrolysis,2026,low,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2026,medium,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2026,high,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2027,low,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2027,medium,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2027,high,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2028,low,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2028,medium,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2028,high,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2029,low,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2029,medium,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2029,high,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2030,low,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2030,medium,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,green_electrolysis,2030,high,0.62,n/a,0.0,0.0
halifax_hamburg,ammonia,cbam_default,2026,low,1.98,n/a,34.88693550000001,0.0
halifax_hamburg,ammonia,cbam_default,2026,medium,1.98,n/a,40.04543550000001,0.0
halifax_hamburg,ammonia,cbam_default,2026,high,1.98,n/a,45.20393550000001,0.0
halifax_hamburg,ammonia,cbam_default,2027,low,1.98,n/a,38.429582,0.0
halifax_hamburg,ammonia,cbam_default,2027,medium,1.98,n/a,48.953682,0.0
halifax_hamburg,ammonia,cbam_default,2027,high,1.98,n/a,56.015907000000006,0.0
halifax_hamburg,ammonia,cbam_default,2028,low,1.98,n/a,44.8938,0.0
halifax_hamburg,ammonia,cbam_default,2028,medium,1.98,n/a,62.53379999999999,0.0
halifax_hamburg,ammonia,cbam_default,2028,high,1.98,n/a,72.29879999999999,0.0
halifax_hamburg,ammonia,cbam_default,2029,low,1.98,n/a,59.98488249999999,0.0
halifax_hamburg,ammonia,cbam_default,2029,medium,1.98,n/a,90.33413249999998,0.0
halifax_hamburg,ammonia,cbam_default,2029,high,1.98,n/a,105.30369499999999,0.0
halifax_hamburg,ammonia,cbam_default,2030,low,1.98,n/a,90.2979322,0.0
halifax_hamburg,ammonia,cbam_default,2030,medium,1.98,n/a,146.23255220000001,0.0
halifax_hamburg,ammonia,cbam_default,2030,high,1.98,n/a,171.7679222,0.0
ningbo_felixstowe,ammonia,coal_gasification,2026,low,6.15,frozen,0.0,0.0
ningbo_felixstowe,ammonia,coal_gasification,2026,medium,6.15,frozen,0.0,0.0
ningbo_felixstowe,ammonia,coal_gasification,2026,high,6.15,frozen,0.0,0.0
ningbo_felixstowe,ammonia,coal_gasification,2027,low,6.15,frozen,0.0,38.53614380427243
ningbo_felixstowe,ammonia,coal_gasification,2027,medium,6.15,frozen,0.0,47.60177163422752
ningbo_felixstowe,ammonia,coal_gasification,2027,high,6.15,frozen,0.0,57.80421570640864
ningbo_felixstowe,ammonia,coal_gasification,2028,low,6.15,frozen,0.0,43.85572986057312
ningbo_felixstowe,ammonia,coal_gasification,2028,medium,6.15,frozen,0.0,54.172790310272944
ningbo_felixstowe,ammonia,coal_gasification,2028,high,6.15,frozen,0.0,65.78359479085968
ningbo_felixstowe,ammonia,coal_gasification,2029,low,6.15,frozen,0.0,54.49490197317455
ningbo_felixstowe,ammonia,coal_gasification,2029,medium,6.15,frozen,0.0,67.31482766236385
ningbo_felixstowe,ammonia,coal_gasification,2029,high,6.15,frozen,0.0,81.74235295976182
ningbo_felixstowe,ammonia,coal_gasification,2030,low,6.15,frozen,0.0,81.09283225467807
ningbo_felixstowe,ammonia,coal_gasification,2030,medium,6.15,frozen,0.0,100.16992104259108
ningbo_felixstowe,ammonia,coal_gasification,2030,high,6.15,frozen,0.0,121.63924838201712
ningbo_felixstowe,ammonia,green_electrolysis,2026,low,0.818,frozen,0.0,0.0
ningbo_felixstowe,ammonia,green_electrolysis,2026,medium,0.818,frozen,0.0,0.0
ningbo_felixstowe,ammonia,green_electrolysis,2026,high,0.818,frozen,0.0,0.0
ningbo_felixstowe,ammonia,green_electrolysis,2027,low,0.818,frozen,0.0,5.125620427950381
ningbo_felixstowe,ammonia,green_electrolysis,2027,medium,0.818,frozen,0.0,6.331422633625708
ningbo_felixstowe,ammonia,green_electrolysis,2027,high,0.818,frozen,0.0,7.688430641925573
ningbo_felixstowe,ammonia,green_electrolysis,2028,low,0.818,frozen,0.0,5.833168622105498
ningbo_felixstowe,ammonia,green_electrolysis,2028,medium,0.818,frozen,0.0,7.2054215404558155
ningbo_felixstowe,ammonia,green_electrolysis,2028,high,0.818,frozen,0.0,8.749752933158247
ningbo_felixstowe,ammonia,green_electrolysis,2029,low,0.818,frozen,0.0,7.248265010415736
ningbo_felixstowe,ammonia,green_electrolysis,2029,medium,0.818,frozen,0.0,8.953419354116036
ningbo_felixstowe,ammonia,green_electrolysis,2029,high,0.818,frozen,0.0,10.872397515623604
ningbo_felixstowe,ammonia,green_electrolysis,2030,low,0.818,frozen,0.0,10.786005981191327
ningbo_felixstowe,ammonia,green_electrolysis,2030,medium,0.818,frozen,0.0,13.323413888266586
ningbo_felixstowe,ammonia,green_electrolysis,2030,high,0.818,frozen,0.0,16.179008971786992
ningbo_felixstowe,ammonia,cbam_default,2026,low,4.36,frozen,0.0,0.0
ningbo_felixstowe,ammonia,cbam_default,2026,medium,4.36,frozen,0.0,0.0
ningbo_felixstowe,ammonia,cbam_default,2026,high,4.36,frozen,0.0,0.0
ningbo_felixstowe,ammonia,cbam_default,2027,low,4.36,frozen,0.0,27.319932843354113
ningbo_felixstowe,ammonia,cbam_default,2027,medium,4.36,frozen,0.0,33.74694704475316
ningbo_felixstowe,ammonia,cbam_default,2027,high,4.36,frozen,0.0,40.97989926503117
ningbo_felixstowe,ammonia,cbam_default,2028,low,4.36,frozen,0.0,31.091216616601436
ningbo_felixstowe,ammonia,cbam_default,2028,medium,4.36,frozen,0.0,38.40542532565692
ningbo_felixstowe,ammonia,cbam_default,2028,high,4.36,frozen,0.0,46.63682492490216
ningbo_felixstowe,ammonia,cbam_default,2029,low,4.36,frozen,0.0,38.633784163096095
ningbo_felixstowe,ammonia,cbam_default,2029,medium,4.36,frozen,0.0,47.72238188746445
ningbo_felixstowe,ammonia,cbam_default,2029,high,4.36,frozen,0.0,57.95067624464415
ningbo_felixstowe,ammonia,cbam_default,2030,low,4.36,frozen,0.0,57.490203029332754
ningbo_felixstowe,ammonia,cbam_default,2030,medium,4.36,frozen,0.0,71.01477329198327
ningbo_felixstowe,ammonia,cbam_default,2030,high,4.36,frozen,0.0,86.23530454399913
